,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Label,Output
28,172.17.237.22-40.77.226.250-36892-443-6,172.17.237.22,36892.0,40.77.226.250,443.0,6.0,22-12-21 13:04,19236289.0,Normal,Normal
29,172.17.237.22-13.76.0.227-56870-443-6,172.17.237.22,56870.0,13.76.0.227,443.0,6.0,22-12-21 13:04,76418631.0,Normal,Normal
30,172.17.237.22-13.77.92.139-57502-443-6,172.17.237.22,57502.0,13.77.92.139,443.0,6.0,22-12-21 13:04,79758743.0,Normal,Normal
31,172.17.237.22-40.126.17.135-58378-443-6,172.17.237.22,58378.0,40.126.17.135,443.0,6.0,22-12-21 13:04,80360282.0,Normal,Normal
32,172.17.237.22-52.113.194.133-38098-443-6,172.17.237.22,38098.0,52.113.194.133,443.0,6.0,22-12-21 13:04,83827742.0,Normal,Normal
33,172.17.237.22-13.107.3.128-43958-443-6,172.17.237.22,43958.0,13.107.3.128,443.0,6.0,22-12-21 13:04,81515680.0,Normal,Normal
34,168.63.15.132-172.17.237.22-443-49628-6,172.17.237.22,49628.0,168.63.15.132,443.0,6.0,22-12-21 13:04,80213330.0,Normal,Normal
35,172.17.237.22-20.189.173.6-48746-443-6,172.17.237.22,48746.0,20.189.173.6,443.0,6.0,22-12-21 13:04,79515667.0,Normal,Normal
36,172.17.237.22-13.76.153.29-36890-443-6,172.17.237.22,36890.0,13.76.153.29,443.0,6.0,22-12-21 13:04,81125472.0,Normal,Normal
37,172.17.237.22-52.163.231.110-45974-443-6,172.17.237.22,45974.0,52.163.231.110,443.0,6.0,22-12-21 13:04,82663234.0,Normal,Normal
38,172.17.237.22-40.74.219.49-49504-443-6,172.17.237.22,49504.0,40.74.219.49,443.0,6.0,22-12-21 13:04,79798614.0,Normal,Normal
39,172.17.237.22-13.107.42.16-44830-443-6,172.17.237.22,44830.0,13.107.42.16,443.0,6.0,22-12-21 13:04,81742387.0,Normal,Normal
40,172.17.237.22-52.159.49.199-59048-443-6,172.17.237.22,59048.0,52.159.49.199,443.0,6.0,22-12-21 13:04,80368869.0,Normal,Normal
41,172.17.237.22-20.189.173.6-48764-443-6,172.17.237.22,48764.0,20.189.173.6,443.0,6.0,22-12-21 13:04,82140540.0,Normal,Normal
42,172.17.237.22-13.76.153.29-36898-443-6,172.17.237.22,36898.0,13.76.153.29,443.0,6.0,22-12-21 13:04,119989826.0,Normal,Normal
43,172.217.166.14-172.17.237.22-443-33731-17,172.17.237.22,33731.0,172.217.166.14,443.0,17.0,22-12-21 13:04,110281050.0,Normal,Normal
44,142.250.206.174-172.17.237.22-443-40953-17,172.17.237.22,40953.0,142.250.206.174,443.0,17.0,22-12-21 13:04,117396583.0,Normal,Normal
45,172.17.237.22-34.246.125.123-51842-443-6,172.17.237.22,51842.0,34.246.125.123,443.0,6.0,22-12-21 13:04,94247845.0,Normal,Normal
46,172.17.172.3-172.17.237.20-53-53-17,172.17.172.3,53.0,172.17.237.20,53.0,17.0,22-12-21 13:04,115066610.0,Normal,Normal
47,172.17.237.22-23.32.176.15-54954-443-6,172.17.237.22,54954.0,23.32.176.15,443.0,6.0,22-12-21 13:04,90112349.0,Normal,Normal
