Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Label
172.17.237.22-40.77.226.250-36892-443-6,40.77.226.250,443,172.17.237.22,36892,6,22-12-21 13:05,25,Normal
172.17.237.22-8.8.8.8-39782-53-17,172.17.237.22,39782,8.8.8.8,53,17,22-12-21 13:05,66190,Normal
172.17.237.22-8.8.8.8-40735-53-17,172.17.237.22,40735,8.8.8.8,53,17,22-12-21 13:05,64379,Normal
172.17.237.43-239.255.255.250-60219-1900-17,172.17.237.43,60219,239.255.255.250,1900,17,22-12-21 13:05,661010,Normal
172.17.237.32-239.255.255.250-63835-1900-17,172.17.237.32,63835,239.255.255.250,1900,17,22-12-21 13:05,3026878,Normal
172.17.237.22-35.186.220.184-33143-443-17,172.17.237.22,33143,35.186.220.184,443,17,22-12-21 13:05,409932,Normal
142.250.207.202-172.17.237.22-443-36898-17,172.17.237.22,36898,142.250.207.202,443,17,22-12-21 13:05,479011,Normal
172.17.237.43-239.255.255.250-57989-1900-17,172.17.237.43,57989,239.255.255.250,1900,17,22-12-21 13:05,193080,Normal
172.17.237.22-52.119.187.0-50858-443-6,172.17.237.22,50858,52.119.187.0,443,6,22-12-21 13:05,3892523,Normal
142.250.193.10-172.17.237.22-443-33432-17,172.17.237.22,33432,142.250.193.10,443,17,22-12-21 13:05,246775,Normal
172.17.237.43-239.255.255.250-37478-1900-17,172.17.237.43,37478,239.255.255.250,1900,17,22-12-21 13:05,661244,Normal
172.17.237.22-8.8.8.8-48326-53-17,172.17.237.22,48326,8.8.8.8,53,17,22-12-21 13:05,67496,Normal
172.17.237.22-180.149.59.14-53151-443-17,172.17.237.22,53151,180.149.59.14,443,17,22-12-21 13:05,4087366,Normal
172.17.237.22-13.107.3.128-43938-443-6,13.107.3.128,443,172.17.237.22,43938,6,22-12-21 13:05,11,Normal
142.250.192.195-172.17.237.22-443-40093-17,172.17.237.22,40093,142.250.192.195,443,17,22-12-21 13:05,502491,Normal
